nlist,nprobe,average_latency,minimum_latency,maximum_latency,recall_at_10
10,1,4.516389983473346,4.000699962489307,5.303799989633262,0.4752222222222222
10,2,7.611669995822012,6.851300015114248,9.88369999686256,0.6395555555555555
10,4,13.659569987794384,12.718299985863268,16.012199979741126,0.735111111111111
10,8,26.647419994696975,25.173400004860014,28.343999991193414,0.780111111111111
10,10,39.944640011526644,33.939900051336735,57.22800001967698,0.7834444444444444
25,1,1.6036000102758408,1.348600024357438,2.443100034724921,0.4749444444444445
25,2,2.9837199952453375,2.3302999907173216,4.089399997610599,0.5503888888888888
25,4,5.430479993810877,4.610300005879253,6.730300025083125,0.6573333333333333
25,8,12.182630016468465,8.690399990882725,16.401899978518486,0.7289999999999999
25,16,18.976629996905103,17.20280002336949,24.292100046295673,0.7789999999999999
25,25,29.124930006219074,26.62910002982244,35.400900000240654,0.7834444444444444
50,1,1.6017500136513263,1.380500034429133,1.957800006493926,0.41105555555555556
50,2,2.8678499977104366,2.257400017697364,3.590300038922578,0.5201111111111111
50,4,4.059860005509108,2.7666999958455563,5.383500014431775,0.6184444444444445
50,8,5.712279997533187,5.150300043169409,6.702099984977394,0.6684444444444444
50,16,10.42151001165621,8.660699997562915,14.99680004781112,0.7584444444444444
50,32,17.586729995673522,16.59720001043752,18.678799970075488,0.7767777777777777
50,50,26.732159993844107,25.503499957267195,29.43510003387928,0.7834444444444444
100,1,1.47803999716416,1.420099986717105,1.6660999972373247,0.39655555555555555
100,2,1.6212300048209727,1.3201999827288091,2.0330999977886677,0.4916666666666666
100,4,2.0294499932788312,1.8127000075764954,2.537399996072054,0.574
100,8,3.8191499887034297,2.978899981826544,4.800499998964369,0.6584444444444444
100,16,5.806569999549538,5.299600015860051,6.791199964936823,0.7117777777777777
100,32,9.80505000334233,9.177499974612147,11.163800023496151,0.7667777777777777
100,64,18.248659995151684,17.492500017397106,20.653899991884828,0.7834444444444444
100,100,27.88930998649448,25.792400003410876,32.76139998342842,0.7834444444444444
